X,Y,gid,Name,description,FACILITIES,ROAD_NAME,CONTACT_NO,GYM,INC_CRC,FMEL_UPD_D
103.9518805,1.374281782,2,ActiveSG Pasir Ris Sport Centre,,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,Pasir Ris Central,Swimming Complex: 65835523; Sports Hall: 65838557; Tennis Centre: 65832696; Gym: 65839891; Soccer Court: 65838557,1,FBB29B7DC5B8F1D4,2.02E+13
103.8025532,1.29617744,3,Queenstown ActiveSG Swimming Complex/Stadium,,Swimming Complex/Stadium,Stirling Road,Swimming Complex/Stadium: 64737269,,A232E468594E4769,2.02E+13
103.8749195,1.356412994,5,Serangoon Swimming Complex/ Stadium,,Swimming Complex/ Stadium,Yio Chu Kang Road,Swimming Complex/Stadium: 62884606,,83E8FE10E3CB882A,2.02E+13
103.7801961,1.43479121,7,Woodlands Sports Centre,,Swimming Complex/Sports Hall/Stadium/Gym,Woodlands Street 12,Swimming Complex: 62694192; Sports Hall: 63652707; Stadium: 62693892; Gym: 63629101,1,5FF51AB7DAA73FDD,2.02E+13
103.8615357,1.325444061,8,St Wilfred ActiveSG Sports Centre,,Field/Tennis Centre,St Wilfred Road,Field/Tennis Centre/Squash Centre: 62933452,,B293338652437389,2.02E+13
103.8466212,1.382569954,9,Yio Chu Kang ActiveSG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym,,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym,Ang Mo Kio Avenue 9,Swimming Complex: 64819054; Tennis Centre/Squash Centre/Gym: 64839370; Stadium/Sports Hall: 64824980,1,452D8F880FBE1DBA,2.02E+13
103.8319586,1.412099031,10,Yishun Sports Hall/Stadium/Gym,,Sports Hall/Stadium/Gym,Yishun Avenue 1,Sports Hall/Stadium/Gym: 68518600; 68518601; 67567416,1,FF0F8067BE1C4223,2.02E+13
103.849451,1.310941078,17,Farrer Park Field,,Field/Tennis Centre,Rutland Road,Field: 62994166; Tennis Centre: 62994166,,A63B3A11BBFDF24B,2.02E+13
103.84957,1.363137367,28,Ang Mo Kio ActiveSG Swimming Complex,,Swimming Complex,Ang Mo Kio Avenue 1,Swimming Complex: 64566821,,EBAC04068A2576A2,2.02E+13
103.8206108,1.289929147,13,Delta Sport Centre,,Swimming Complex/Sports Hall/Gym/Hockey Pitch,Tiong Bahru Road,Swimming Complex: 64747573; Sports Hall: 64747472; Gym: 64719037,1,DC66B279F1A38010,2.02E+13
103.8147876,1.286935307,14,Enabling Village ActiveSG Gym,,Gym,Lengkok Bahru,Gym: 62651292,1,33EE093322162EBF,2.02E+13
103.8880523,1.320926292,15,Geylang East ActiveSG Swimming Complex,,Swimming Complex,Aljunied Crescent Avenue 1,Swimming Complex: 67457175,,2CBCA4BA916FC7EE,2.02E+13
103.8780188,1.310258413,16,Geylang ActiveSG Field,,Field,Lorong 12 Geylang,Field: 63481291,,9C42A54F2C447F87,2.02E+13
103.8601508,1.310062253,18,Jalan Besar Sports Centre,,Swimming Complex/Stadium,Tyrwhitt Road,Swimming Complex/Stadium: 62939058,,130CAB98285B2A99,2.02E+13
103.7293851,1.346807109,19,Jurong East Sports Centre,,Swimming Complex/Sports Hall/Stadium/Gym/Gateball & Petanque Courts,Jurong East Street 31,Swimming Complex/Gateball Court/Petanque Court/Stadium: 65635052; Gym: 68963569,1,ABEE2E8200AF5EBD,2.02E+13
103.9320508,1.326894584,20,Bedok ActiveSG Swimming Complex/Sports Hall/Tennis Centre/Gym,,Swimming Complex/Sports Hall/Tennis Centre/Gym,Bedok North Street 1,Swimming Complex/Sports Hall/Tennis Centre/Gym: 64431787,1,93551D8755073C8F,2.02E+13
103.8869612,1.36971543,21,Hougang Swimming Complex/Sports Hall/Stadium/Gym,,Swimming Complex/Sports Hall/Stadium/Gym,Hougang Avenue 4,Swimming Complex: 63865010; Sports Hall: 63860449; Stadium: 63864856; Gym: 63158674,1,21400D21EDC39A3F,2.02E+13
103.7628328,1.309698187,22,Clementi ActiveSG Stadium,,Stadium,West Coast Walk,Stadium: 67786761,,8C584DC669A14E28,2.02E+13
103.7657628,1.310505028,23,Clementi ActiveSG Sports Centre,,Swimming Complex/Sports Hall/Gym,Clementi Avenue 3,Swimming complex: 67790577; Sports Hall: 67762560; Gym: 68729185,1,CDF428CE63E09A47,2.02E+13
103.6943079,1.338545957,24,Jurong West ActiveSG Sports Centre,,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,Jurong West Street 93,Swimming  Complex/Sports Hall/Stadium/Tennis Centre/Gym: 65155331,1,8E508998C4C61405,2.02E+13
103.8724047,1.322710543,25,Kallang Basin ActiveSG Swimming Complex,,Swimming Complex,Geylang Bahru Lane,Swimming  Complex: 62954261,,E79B9868BD354B42,2.02E+13
103.8787546,1.305663701,26,Kallang ActiveSG Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl,,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl,Stadium Road,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl: 63481291,,F73F2743099EB171,2.02E+13
103.8860615,1.302007596,27,Katong ActiveSG Swimming Complex,,Swimming Complex,Wilkinson Road,Swimming Complex: 63449609,,10D3F2DB776B731A,2.02E+13
103.8515061,1.354620891,29,Bishan ActiveSG Swimming Complex/Sports Hall/Stadium/Gym,,Swimming Complex/Sports Hall/Stadium/Gym,Bishan Street 14,Swimming Complex: 63536117; Sports Hall/Stadium: 63526631; Gym: 63539238,1,43F00EF774299072,2.02E+13
103.7481529,1.344513205,30,Bukit Batok Swimming Complex,,Swimming Complex,Bukit Batok Street 22,Swimming Complex: 65610939,,70C0BC895D0B5B82,2.02E+13
103.938391,1.326154163,32,Bedok ActiveSG Stadium,,Stadium,Bedok North Street 2,Stadium: 64434846,,F30828516EF194BF,2.02E+13
103.8606277,1.359324709,33,Burghley ActiveSG Squash and Tennis Centre,,Squash Centre/Tennis Centre,Burghley Drive,Squash Centre/Tennis Centre: 62831251,,2FD4B9D2AE9916BB,2.02E+13
103.9402495,1.353092888,1,Tampines Swimming Complex/Sports Hall/Gym,,Swimming Complex/Sports Hall/Gym,Tampines Avenue 4,Swimming Complex/Sports Hall/Gym: 62601160,1,B65C86F8B15817F0,2.02E+13
103.886691,1.39604192,4,Sengkang Swimming Complex/Sports Hall/Gym/Hockey Pitch,,Swimming Complex/Sports Hall/Gym/Hockey Pitch,Anchorvale Road,Swimming Complex/Sports Hall/Gym: 63153576,1,FF2F79498BB97A25,2.02E+13
103.8517468,1.330137705,6,Toa Payoh Swimming Complex/Sports Hall/Stadium/Gym,,Swimming Complex/Sports Hall/Stadium/Gym,Lorong 6 Toa Payoh,Swimming Complex: 62594808; Sports Hall/Stadium/Gym/Petanque Court: 62592916,1,4BDFFDD00573FD35,2.02E+13
103.8340557,1.423592817,11,Yishun Swimming Complex,,Swimming Complex,Yishun Avenue 3,Swimming Complex: 67525513,,A48D5A988C7092E7,2.02E+13
103.8193433,1.319221996,12,MOE (Evans) Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch,,Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch,Evans Road,Swimming Complex/Sports Hall/ Stadium/Tennis Centre/Squash Centre/Hockey Pitch: 64688393,,246F4815DF9E8387,2.02E+13
103.7193976,1.332812577,35,Jurong ActiveSG Stadium,,Stadium,Fourth Chin Bee Road,Stadium: 65635052,,44BD3B5B9A9B8408,2.02E+13
103.7530336,1.358626993,31,Bukit Batok Sports Hall/Stadium/Gym,,Sports Hall/Stadium/Gym,Bukit Batok West Avenue 5,Sports Hall/Stadium: 65695670; Gym: 68962197,1,3950155F7455124A,2.02E+13
103.7485685,1.391095552,34,Choa Chu Kang ActiveSG Sports Centre,,Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym,Choa Chu Kang Street 53,Swimming complex: 67678606; Sports Hall/Tennis Centre: 67674576; Stadium/Futsal Court: 67672721; Gym: 67671739,1,96F0EB855D590D51,2.02E+13
